Stored fact information:
Course(ID1) => Min Interval: 3, Max Interval: 45
Course(ID6303) => Min Interval: 1, Max Interval: 47
Course(ID6308) => Min Interval: 17, Max Interval: 46
Course(ID6310) => Min Interval: 5, Max Interval: 39
Course(ID6314) => Min Interval: 6, Max Interval: 47
Course(ID6325) => Min Interval: 8, Max Interval: 45
Course(ID6329) => Min Interval: 0, Max Interval: 45
Course(ID6333) => Min Interval: 6, Max Interval: 49
Course(ID6340) => Min Interval: 3, Max Interval: 47
Course(ID6344) => Min Interval: 4, Max Interval: 42
Course(ID6346) => Min Interval: 14, Max Interval: 48
Course(ID6351) => Min Interval: 0, Max Interval: 49
Course(ID6354) => Min Interval: 17, Max Interval: 50
Course(ID6358) => Min Interval: 7, Max Interval: 50
Course(ID6368) => Min Interval: 4, Max Interval: 50
Course(ID6374) => Min Interval: 2, Max Interval: 47
Course(ID6376) => Min Interval: 13, Max Interval: 42
Course(ID6378) => Min Interval: 5, Max Interval: 50
Course(ID6383) => Min Interval: 2, Max Interval: 47
Course(ID6385) => Min Interval: 1, Max Interval: 45
Course(ID6387) => Min Interval: 1, Max Interval: 49
Course(ID6394) => Min Interval: 2, Max Interval: 48
Course(ID6400) => Min Interval: 18, Max Interval: 49
Course(ID6408) => Min Interval: 5, Max Interval: 44
Course(ID6410) => Min Interval: 2, Max Interval: 48
Course(ID6424) => Min Interval: 0, Max Interval: 49
Course(ID6430) => Min Interval: 5, Max Interval: 38
Course(ID6439) => Min Interval: 0, Max Interval: 47
Course(ID6441) => Min Interval: 1, Max Interval: 50
Course(ID6444) => Min Interval: 2, Max Interval: 46
Course(ID6461) => Min Interval: 8, Max Interval: 46
Course(ID6462) => Min Interval: 1, Max Interval: 38
Course(ID6464) => Min Interval: 3, Max Interval: 45
Course(ID6468) => Min Interval: 1, Max Interval: 44
Course(ID6476) => Min Interval: 10, Max Interval: 50
Course(ID6479) => Min Interval: 6, Max Interval: 42
Course(ID6485) => Min Interval: 3, Max Interval: 48
Course(ID6491) => Min Interval: 2, Max Interval: 50
Course(ID6496) => Min Interval: 3, Max Interval: 41
Course(ID6501) => Min Interval: 7, Max Interval: 49
Course(ID6507) => Min Interval: 1, Max Interval: 49
Course(ID6527) => Min Interval: 5, Max Interval: 47
Course(ID6533) => Min Interval: 6, Max Interval: 48
Course(ID6538) => Min Interval: 2, Max Interval: 47
Course(ID6549) => Min Interval: 5, Max Interval: 44
Course(ID6554) => Min Interval: 3, Max Interval: 34
Course(ID6565) => Min Interval: 2, Max Interval: 48
Course(ID6574) => Min Interval: 1, Max Interval: 50
Course(ID6575) => Min Interval: 9, Max Interval: 48
Course(ID6586) => Min Interval: 0, Max Interval: 49
Course(ID6590) => Min Interval: 10, Max Interval: 50
Course(ID6595) => Min Interval: 2, Max Interval: 50
Course(ID6597) => Min Interval: 1, Max Interval: 50
Course(ID6606) => Min Interval: 12, Max Interval: 48
Course(ID6612) => Min Interval: 6, Max Interval: 49
Course(ID6623) => Min Interval: 3, Max Interval: 30
Course(ID6632) => Min Interval: 25, Max Interval: 50
Course(ID6640) => Min Interval: 5, Max Interval: 32
Course(ID6645) => Min Interval: 4, Max Interval: 43
Course(ID6653) => Min Interval: 3, Max Interval: 46
Course(ID6675) => Min Interval: 3, Max Interval: 37
Course(ID6678) => Min Interval: 11, Max Interval: 46
Course(ID6689) => Min Interval: 6, Max Interval: 49
Course(ID6695) => Min Interval: 0, Max Interval: 46
Course(ID6707) => Min Interval: 5, Max Interval: 41
Course(ID6711) => Min Interval: 2, Max Interval: 47
Course(ID6716) => Min Interval: 0, Max Interval: 37
Course(ID6723) => Min Interval: 6, Max Interval: 39
Course(ID6728) => Min Interval: 5, Max Interval: 46
Course(ID6745) => Min Interval: 5, Max Interval: 47
Course(ID6750) => Min Interval: 1, Max Interval: 50
Course(ID6751) => Min Interval: 3, Max Interval: 48
Course(ID6767) => Min Interval: 8, Max Interval: 49
Course(ID6769) => Min Interval: 8, Max Interval: 42
Course(ID6799) => Min Interval: 0, Max Interval: 45
Course(ID6805) => Min Interval: 3, Max Interval: 48
Course(ID6809) => Min Interval: 2, Max Interval: 49
Course(ID6832) => Min Interval: 4, Max Interval: 42
Course(ID6839) => Min Interval: 12, Max Interval: 47
Course(ID6871) => Min Interval: 4, Max Interval: 35
Course(ID6878) => Min Interval: 1, Max Interval: 48
Course(ID6883) => Min Interval: 2, Max Interval: 50
Course(ID6891) => Min Interval: 6, Max Interval: 48
Course(ID6896) => Min Interval: 1, Max Interval: 47
Course(ID6912) => Min Interval: 6, Max Interval: 43
Course(ID6922) => Min Interval: 6, Max Interval: 48
Course(ID6934) => Min Interval: 14, Max Interval: 50
Course(ID6958) => Min Interval: 2, Max Interval: 31
Course(ID6969) => Min Interval: 11, Max Interval: 34
Course(ID6985) => Min Interval: 0, Max Interval: 38
Course(ID6992) => Min Interval: 5, Max Interval: 46
Course(ID6996) => Min Interval: 0, Max Interval: 50
Course(ID7061) => Min Interval: 10, Max Interval: 42
Course(ID7080) => Min Interval: 15, Max Interval: 47
Course(ID7094) => Min Interval: 1, Max Interval: 50
Course(ID7110) => Min Interval: 3, Max Interval: 48
Course(ID7131) => Min Interval: 1, Max Interval: 50
Course(ID7144) => Min Interval: 5, Max Interval: 49
Course(ID7192) => Min Interval: 25, Max Interval: 47
Course(ID7222) => Min Interval: 5, Max Interval: 50
Course(ID7241) => Min Interval: 4, Max Interval: 48
Course(ID7250) => Min Interval: 8, Max Interval: 49
Course(ID7272) => Min Interval: 0, Max Interval: 49
Course(ID7282) => Min Interval: 16, Max Interval: 50
Course(ID7291) => Min Interval: 7, Max Interval: 39
Course(ID7315) => Min Interval: 0, Max Interval: 36
Course(ID7327) => Min Interval: 8, Max Interval: 49
Course(ID7344) => Min Interval: 1, Max Interval: 50
Course(ID7370) => Min Interval: 2, Max Interval: 33
Course(ID7447) => Min Interval: 2, Max Interval: 50
Course(ID7494) => Min Interval: 0, Max Interval: 43
Course(ID7624) => Min Interval: 4, Max Interval: 50
Course(ID7634) => Min Interval: 5, Max Interval: 44
Course(ID7636) => Min Interval: 7, Max Interval: 50
Course(ID7646) => Min Interval: 6, Max Interval: 45
Course(ID7650) => Min Interval: 10, Max Interval: 44
Course(ID7653) => Min Interval: 4, Max Interval: 43
Course(ID7655) => Min Interval: 8, Max Interval: 46
Course(ID7662) => Min Interval: 0, Max Interval: 49
Course(ID7667) => Min Interval: 4, Max Interval: 39
Course(ID7670) => Min Interval: 2, Max Interval: 49
Course(ID7673) => Min Interval: 1, Max Interval: 45
Course(ID7682) => Min Interval: 10, Max Interval: 45
Course(ID7694) => Min Interval: 6, Max Interval: 50
Course(ID7697) => Min Interval: 0, Max Interval: 29
Course(ID7703) => Min Interval: 8, Max Interval: 48
Course(ID7706) => Min Interval: 3, Max Interval: 41
Course(ID7710) => Min Interval: 4, Max Interval: 45
Course(ID7717) => Min Interval: 15, Max Interval: 43
Course(ID7722) => Min Interval: 10, Max Interval: 34
Course(ID7726) => Min Interval: 17, Max Interval: 43
Course(ID7728) => Min Interval: 3, Max Interval: 44
Course(ID7730) => Min Interval: 3, Max Interval: 48
Course(ID7732) => Min Interval: 0, Max Interval: 49
Course(ID7739) => Min Interval: 11, Max Interval: 49
Course(ID7743) => Min Interval: 4, Max Interval: 49
Course(ID7747) => Min Interval: 6, Max Interval: 44
Course(ID7750) => Min Interval: 2, Max Interval: 42
Course(ID7759) => Min Interval: 8, Max Interval: 50
Course(ID7766) => Min Interval: 9, Max Interval: 45
Course(ID7771) => Min Interval: 9, Max Interval: 42
Course(ID7777) => Min Interval: 2, Max Interval: 50
Course(ID7779) => Min Interval: 3, Max Interval: 49
Course(ID7781) => Min Interval: 12, Max Interval: 47
Course(ID7783) => Min Interval: 8, Max Interval: 43
Course(ID7790) => Min Interval: 0, Max Interval: 48
Course(ID7795) => Min Interval: 24, Max Interval: 48
Course(ID7801) => Min Interval: 6, Max Interval: 49
Course(ID7803) => Min Interval: 0, Max Interval: 47
Course(ID7804) => Min Interval: 10, Max Interval: 49
Course(ID7809) => Min Interval: 11, Max Interval: 50
Course(ID7811) => Min Interval: 5, Max Interval: 45
Course(ID7813) => Min Interval: 7, Max Interval: 47
Course(ID7815) => Min Interval: 2, Max Interval: 50
Course(ID7821) => Min Interval: 0, Max Interval: 41
Course(ID7829) => Min Interval: 1, Max Interval: 48
Course(ID7843) => Min Interval: 0, Max Interval: 39
Course(ID7857) => Min Interval: 9, Max Interval: 47
Course(ID7868) => Min Interval: 3, Max Interval: 45
Course(ID7875) => Min Interval: 1, Max Interval: 49
Course(ID7878) => Min Interval: 20, Max Interval: 49
Course(ID7892) => Min Interval: 0, Max Interval: 36
Course(ID7905) => Min Interval: 7, Max Interval: 49
Course(ID7920) => Min Interval: 3, Max Interval: 50
Course(ID7924) => Min Interval: 1, Max Interval: 50
Course(ID7930) => Min Interval: 10, Max Interval: 44
Course(ID7932) => Min Interval: 27, Max Interval: 46
Course(ID7948) => Min Interval: 6, Max Interval: 47
Course(ID7951) => Min Interval: 0, Max Interval: 48
Course(ID7972) => Min Interval: 3, Max Interval: 50
Course(ID8020) => Min Interval: 3, Max Interval: 38
Course(ID8026) => Min Interval: 3, Max Interval: 38
Course(ID8027) => Min Interval: 1, Max Interval: 48
Course(ID8028) => Min Interval: 1, Max Interval: 34
Course(ID8041) => Min Interval: 18, Max Interval: 50
Course(ID8055) => Min Interval: 4, Max Interval: 50
Course(ID8077) => Min Interval: 5, Max Interval: 46
Course(ID8097) => Min Interval: 10, Max Interval: 48
Course(ID8113) => Min Interval: 4, Max Interval: 48
Course(ID8130) => Min Interval: 0, Max Interval: 43
Course(ID8137) => Min Interval: 7, Max Interval: 50
Course(ID8154) => Min Interval: 0, Max Interval: 35
Course(ID8156) => Min Interval: 19, Max Interval: 45
Course(ID8178) => Min Interval: 9, Max Interval: 46
Course(ID8214) => Min Interval: 5, Max Interval: 50
Course(ID8222) => Min Interval: 13, Max Interval: 50
Course(ID8223) => Min Interval: 0, Max Interval: 29
Course(ID8235) => Min Interval: 3, Max Interval: 45
Course(ID8238) => Min Interval: 4, Max Interval: 50
Course(ID8254) => Min Interval: 12, Max Interval: 50
Course(ID8258) => Min Interval: 20, Max Interval: 48
Course(ID8270) => Min Interval: 0, Max Interval: 46
Course(ID8289) => Min Interval: 4, Max Interval: 48
Course(ID8293) => Min Interval: 0, Max Interval: 46
Course(ID8306) => Min Interval: 4, Max Interval: 30
Course(ID8325) => Min Interval: 12, Max Interval: 50
Course(ID8326) => Min Interval: 10, Max Interval: 50
Course(ID8346) => Min Interval: 11, Max Interval: 43
Course(ID8363) => Min Interval: 8, Max Interval: 45
Course(ID8372) => Min Interval: 1, Max Interval: 42
Course(ID8395) => Min Interval: 0, Max Interval: 41
Course(ID8419) => Min Interval: 1, Max Interval: 48
Course(ID8435) => Min Interval: 0, Max Interval: 39
Course(ID8442) => Min Interval: 9, Max Interval: 38
Course(ID8458) => Min Interval: 1, Max Interval: 49
Course(ID8502) => Min Interval: 3, Max Interval: 31
Course(ID8522) => Min Interval: 3, Max Interval: 42
Course(ID8525) => Min Interval: 0, Max Interval: 47
Course(ID8530) => Min Interval: 18, Max Interval: 48
Course(ID8532) => Min Interval: 8, Max Interval: 48
Course(ID8552) => Min Interval: 3, Max Interval: 40
Course(ID8558) => Min Interval: 5, Max Interval: 48
Course(ID8569) => Min Interval: 12, Max Interval: 50
Course(ID8578) => Min Interval: 4, Max Interval: 50
Course(ID8602) => Min Interval: 6, Max Interval: 42
Course(ID8606) => Min Interval: 7, Max Interval: 48
Course(ID8684) => Min Interval: 6, Max Interval: 47
Course(ID8728) => Min Interval: 5, Max Interval: 44
Course(ID8792) => Min Interval: 4, Max Interval: 45
Course(ID8793) => Min Interval: 0, Max Interval: 50
Course(ID8847) => Min Interval: 6, Max Interval: 49
Course(ID8849) => Min Interval: 11, Max Interval: 47
Course(ID8856) => Min Interval: 4, Max Interval: 45
Course(ID8858) => Min Interval: 10, Max Interval: 47
Course(ID8860) => Min Interval: 7, Max Interval: 47
Course(ID8868) => Min Interval: 0, Max Interval: 50
Course(ID8871) => Min Interval: 2, Max Interval: 49
Course(ID8873) => Min Interval: 10, Max Interval: 47
Course(ID8874) => Min Interval: 21, Max Interval: 48
Course(ID8901) => Min Interval: 4, Max Interval: 50
Course(ID8903) => Min Interval: 3, Max Interval: 48
Course(ID8904) => Min Interval: 14, Max Interval: 48
Course(ID8906) => Min Interval: 4, Max Interval: 33
Course(ID8910) => Min Interval: 1, Max Interval: 46
Course(ID8912) => Min Interval: 1, Max Interval: 47
Course(ID8924) => Min Interval: 12, Max Interval: 50
Course(ID8929) => Min Interval: 2, Max Interval: 48
Course(ID8931) => Min Interval: 2, Max Interval: 49
Course(ID8932) => Min Interval: 13, Max Interval: 36
Course(ID8938) => Min Interval: 8, Max Interval: 50
Course(ID8955) => Min Interval: 12, Max Interval: 44
Course(ID8958) => Min Interval: 18, Max Interval: 44
Course(ID8963) => Min Interval: 2, Max Interval: 49
Course(ID8966) => Min Interval: 0, Max Interval: 43
Course(ID8969) => Min Interval: 4, Max Interval: 49
Course(ID8974) => Min Interval: 1, Max Interval: 50
Course(ID8984) => Min Interval: 14, Max Interval: 47
Course(ID8996) => Min Interval: 9, Max Interval: 43
Course(ID9010) => Min Interval: 10, Max Interval: 50
Course(ID9011) => Min Interval: 0, Max Interval: 43
Course(ID9014) => Min Interval: 6, Max Interval: 42
Course(ID9017) => Min Interval: 9, Max Interval: 49
Course(ID9025) => Min Interval: 7, Max Interval: 47
Course(ID9027) => Min Interval: 2, Max Interval: 49
Course(ID9029) => Min Interval: 13, Max Interval: 45
Course(ID9035) => Min Interval: 3, Max Interval: 43
Course(ID9037) => Min Interval: 1, Max Interval: 47
Course(ID9040) => Min Interval: 7, Max Interval: 48
Course(ID9045) => Min Interval: 6, Max Interval: 48
Course(ID9054) => Min Interval: 3, Max Interval: 49
Course(ID9055) => Min Interval: 2, Max Interval: 47
Course(ID9078) => Min Interval: 11, Max Interval: 50
Course(ID9080) => Min Interval: 1, Max Interval: 38
Course(ID9085) => Min Interval: 6, Max Interval: 48
Course(ID9088) => Min Interval: 1, Max Interval: 48
Course(ID9096) => Min Interval: 5, Max Interval: 45
Course(ID9104) => Min Interval: 6, Max Interval: 50
Course(ID9107) => Min Interval: 5, Max Interval: 47
Course(ID9108) => Min Interval: 7, Max Interval: 47
Course(ID9112) => Min Interval: 2, Max Interval: 39
Course(ID9123) => Min Interval: 1, Max Interval: 29
Course(ID9126) => Min Interval: 0, Max Interval: 48
Course(ID9127) => Min Interval: 7, Max Interval: 49
Course(ID9132) => Min Interval: 1, Max Interval: 48
Course(ID9133) => Min Interval: 2, Max Interval: 44
Course(ID9145) => Min Interval: 8, Max Interval: 50
Course(ID9167) => Min Interval: 7, Max Interval: 45
Course(ID9172) => Min Interval: 2, Max Interval: 42
Course(ID9175) => Min Interval: 3, Max Interval: 43
Course(ID9193) => Min Interval: 1, Max Interval: 48
Course(ID9196) => Min Interval: 0, Max Interval: 41
Course(ID9197) => Min Interval: 8, Max Interval: 50
Course(ID9203) => Min Interval: 1, Max Interval: 46
Course(ID9206) => Min Interval: 1, Max Interval: 38
Course(ID9217) => Min Interval: 0, Max Interval: 49
Course(ID9218) => Min Interval: 6, Max Interval: 49
Course(ID9222) => Min Interval: 0, Max Interval: 43
Course(ID9233) => Min Interval: 4, Max Interval: 42
Course(ID9248) => Min Interval: 6, Max Interval: 38
Course(ID9249) => Min Interval: 19, Max Interval: 50
Course(ID9272) => Min Interval: 3, Max Interval: 46
Course(ID9275) => Min Interval: 0, Max Interval: 50
Course(ID9277) => Min Interval: 8, Max Interval: 50
Course(ID9286) => Min Interval: 2, Max Interval: 50
Course(ID9304) => Min Interval: 4, Max Interval: 49
Course(ID9308) => Min Interval: 15, Max Interval: 50
Course(ID9323) => Min Interval: 5, Max Interval: 42
Course(ID9331) => Min Interval: 0, Max Interval: 49
Course(ID9343) => Min Interval: 1, Max Interval: 50
Course(ID9349) => Min Interval: 3, Max Interval: 49
Course(ID9355) => Min Interval: 6, Max Interval: 38
Course(ID9363) => Min Interval: 0, Max Interval: 46
Course(ID9381) => Min Interval: 20, Max Interval: 46
Course(ID9405) => Min Interval: 7, Max Interval: 49
Course(ID9417) => Min Interval: 1, Max Interval: 43
Course(ID9433) => Min Interval: 11, Max Interval: 39
Course(ID9434) => Min Interval: 6, Max Interval: 46
Course(ID9442) => Min Interval: 6, Max Interval: 48
Course(ID9470) => Min Interval: 3, Max Interval: 46
Course(ID9480) => Min Interval: 9, Max Interval: 45
Course(ID9482) => Min Interval: 0, Max Interval: 44
Course(ID9490) => Min Interval: 3, Max Interval: 34
Course(ID9515) => Min Interval: 2, Max Interval: 48
Course(ID9540) => Min Interval: 9, Max Interval: 44
Course(ID9545) => Min Interval: 1, Max Interval: 46
Course(ID9548) => Min Interval: 11, Max Interval: 49
Course(ID9583) => Min Interval: 2, Max Interval: 43
Course(ID9599) => Min Interval: 1, Max Interval: 48
Course(ID9654) => Min Interval: 6, Max Interval: 42
Course(ID9656) => Min Interval: 8, Max Interval: 32
Course(ID9663) => Min Interval: 3, Max Interval: 50
Course(ID9664) => Min Interval: 1, Max Interval: 34
Course(ID9673) => Min Interval: 0, Max Interval: 38
Course(ID9708) => Min Interval: 4, Max Interval: 37
Course(ID9741) => Min Interval: 2, Max Interval: 49
Course(ID9748) => Min Interval: 9, Max Interval: 43
Course(ID9807) => Min Interval: 12, Max Interval: 35
Course(ID9811) => Min Interval: 1, Max Interval: 44
Course(ID9815) => Min Interval: 0, Max Interval: 50
Course(ID9844) => Min Interval: 4, Max Interval: 39
Course(ID9855) => Min Interval: 2, Max Interval: 34
Course(ID9863) => Min Interval: 6, Max Interval: 47
Course(ID9917) => Min Interval: 2, Max Interval: 49
Course(ID9948) => Min Interval: 5, Max Interval: 50
Course(ID9964) => Min Interval: 2, Max Interval: 50
Course(ID9967) => Min Interval: 0, Max Interval: 48
Course(ID9973) => Min Interval: 6, Max Interval: 46
Course(ID9977) => Min Interval: 1, Max Interval: 48
Course(ID9980) => Min Interval: 0, Max Interval: 50
Course(ID9983) => Min Interval: 1, Max Interval: 41
Course(ID9991) => Min Interval: 3, Max Interval: 46
Course(ID9995) => Min Interval: 2, Max Interval: 44
Course(ID9998) => Min Interval: 6, Max Interval: 43
