Stored fact information:
Work(ID1) => Min Interval: 3, Max Interval: 45
Work(ID6303) => Min Interval: 1, Max Interval: 47
Work(ID6308) => Min Interval: 17, Max Interval: 46
Work(ID6310) => Min Interval: 5, Max Interval: 39
Work(ID6314) => Min Interval: 6, Max Interval: 47
Work(ID6325) => Min Interval: 8, Max Interval: 45
Work(ID6329) => Min Interval: 0, Max Interval: 45
Work(ID6333) => Min Interval: 6, Max Interval: 49
Work(ID6340) => Min Interval: 3, Max Interval: 47
Work(ID6344) => Min Interval: 4, Max Interval: 42
Work(ID6346) => Min Interval: 14, Max Interval: 48
Work(ID6351) => Min Interval: 0, Max Interval: 49
Work(ID6354) => Min Interval: 17, Max Interval: 50
Work(ID6358) => Min Interval: 7, Max Interval: 50
Work(ID6368) => Min Interval: 4, Max Interval: 50
Work(ID6374) => Min Interval: 2, Max Interval: 47
Work(ID6376) => Min Interval: 13, Max Interval: 42
Work(ID6378) => Min Interval: 5, Max Interval: 50
Work(ID6383) => Min Interval: 2, Max Interval: 47
Work(ID6385) => Min Interval: 1, Max Interval: 45
Work(ID6387) => Min Interval: 1, Max Interval: 49
Work(ID6394) => Min Interval: 2, Max Interval: 48
Work(ID6400) => Min Interval: 18, Max Interval: 49
Work(ID6408) => Min Interval: 5, Max Interval: 44
Work(ID6410) => Min Interval: 2, Max Interval: 48
Work(ID6424) => Min Interval: 0, Max Interval: 49
Work(ID6430) => Min Interval: 5, Max Interval: 38
Work(ID6439) => Min Interval: 0, Max Interval: 47
Work(ID6441) => Min Interval: 1, Max Interval: 50
Work(ID6444) => Min Interval: 2, Max Interval: 46
Work(ID6461) => Min Interval: 8, Max Interval: 46
Work(ID6462) => Min Interval: 1, Max Interval: 38
Work(ID6464) => Min Interval: 3, Max Interval: 45
Work(ID6468) => Min Interval: 1, Max Interval: 44
Work(ID6476) => Min Interval: 10, Max Interval: 50
Work(ID6479) => Min Interval: 6, Max Interval: 42
Work(ID6485) => Min Interval: 3, Max Interval: 48
Work(ID6491) => Min Interval: 2, Max Interval: 50
Work(ID6496) => Min Interval: 3, Max Interval: 41
Work(ID6501) => Min Interval: 7, Max Interval: 49
Work(ID6507) => Min Interval: 1, Max Interval: 49
Work(ID6527) => Min Interval: 5, Max Interval: 47
Work(ID6533) => Min Interval: 6, Max Interval: 48
Work(ID6538) => Min Interval: 2, Max Interval: 47
Work(ID6549) => Min Interval: 5, Max Interval: 44
Work(ID6554) => Min Interval: 3, Max Interval: 34
Work(ID6565) => Min Interval: 2, Max Interval: 48
Work(ID6574) => Min Interval: 1, Max Interval: 50
Work(ID6575) => Min Interval: 9, Max Interval: 48
Work(ID6586) => Min Interval: 0, Max Interval: 49
Work(ID6590) => Min Interval: 10, Max Interval: 50
Work(ID6595) => Min Interval: 2, Max Interval: 50
Work(ID6597) => Min Interval: 1, Max Interval: 50
Work(ID6606) => Min Interval: 12, Max Interval: 48
Work(ID6612) => Min Interval: 6, Max Interval: 49
Work(ID6623) => Min Interval: 3, Max Interval: 30
Work(ID6632) => Min Interval: 25, Max Interval: 50
Work(ID6640) => Min Interval: 5, Max Interval: 32
Work(ID6645) => Min Interval: 4, Max Interval: 43
Work(ID6653) => Min Interval: 3, Max Interval: 46
Work(ID6675) => Min Interval: 3, Max Interval: 37
Work(ID6678) => Min Interval: 11, Max Interval: 46
Work(ID6689) => Min Interval: 6, Max Interval: 49
Work(ID6695) => Min Interval: 0, Max Interval: 46
Work(ID6707) => Min Interval: 5, Max Interval: 41
Work(ID6711) => Min Interval: 2, Max Interval: 47
Work(ID6716) => Min Interval: 0, Max Interval: 37
Work(ID6723) => Min Interval: 6, Max Interval: 39
Work(ID6728) => Min Interval: 5, Max Interval: 46
Work(ID6745) => Min Interval: 5, Max Interval: 47
Work(ID6750) => Min Interval: 1, Max Interval: 50
Work(ID6751) => Min Interval: 3, Max Interval: 48
Work(ID6767) => Min Interval: 8, Max Interval: 49
Work(ID6769) => Min Interval: 8, Max Interval: 42
Work(ID6799) => Min Interval: 0, Max Interval: 45
Work(ID6805) => Min Interval: 3, Max Interval: 48
Work(ID6809) => Min Interval: 2, Max Interval: 49
Work(ID6832) => Min Interval: 4, Max Interval: 42
Work(ID6839) => Min Interval: 12, Max Interval: 47
Work(ID6871) => Min Interval: 4, Max Interval: 35
Work(ID6878) => Min Interval: 1, Max Interval: 48
Work(ID6883) => Min Interval: 2, Max Interval: 50
Work(ID6891) => Min Interval: 6, Max Interval: 48
Work(ID6896) => Min Interval: 1, Max Interval: 47
Work(ID6912) => Min Interval: 6, Max Interval: 43
Work(ID6922) => Min Interval: 6, Max Interval: 48
Work(ID6934) => Min Interval: 14, Max Interval: 50
Work(ID6958) => Min Interval: 2, Max Interval: 31
Work(ID6969) => Min Interval: 11, Max Interval: 34
Work(ID6985) => Min Interval: 0, Max Interval: 38
Work(ID6992) => Min Interval: 5, Max Interval: 46
Work(ID6996) => Min Interval: 0, Max Interval: 50
Work(ID7061) => Min Interval: 10, Max Interval: 42
Work(ID7080) => Min Interval: 15, Max Interval: 47
Work(ID7094) => Min Interval: 1, Max Interval: 50
Work(ID7110) => Min Interval: 3, Max Interval: 48
Work(ID7131) => Min Interval: 1, Max Interval: 50
Work(ID7144) => Min Interval: 5, Max Interval: 49
Work(ID7192) => Min Interval: 25, Max Interval: 47
Work(ID7222) => Min Interval: 5, Max Interval: 50
Work(ID7241) => Min Interval: 4, Max Interval: 48
Work(ID7250) => Min Interval: 8, Max Interval: 49
Work(ID7272) => Min Interval: 0, Max Interval: 49
Work(ID7282) => Min Interval: 16, Max Interval: 50
Work(ID7291) => Min Interval: 7, Max Interval: 39
Work(ID7315) => Min Interval: 0, Max Interval: 36
Work(ID7327) => Min Interval: 8, Max Interval: 49
Work(ID7344) => Min Interval: 1, Max Interval: 50
Work(ID7370) => Min Interval: 2, Max Interval: 33
Work(ID7447) => Min Interval: 2, Max Interval: 50
Work(ID7494) => Min Interval: 0, Max Interval: 43
Work(ID7624) => Min Interval: 4, Max Interval: 50
Work(ID7634) => Min Interval: 5, Max Interval: 44
Work(ID7636) => Min Interval: 7, Max Interval: 50
Work(ID7646) => Min Interval: 6, Max Interval: 45
Work(ID7650) => Min Interval: 10, Max Interval: 44
Work(ID7653) => Min Interval: 4, Max Interval: 43
Work(ID7655) => Min Interval: 8, Max Interval: 46
Work(ID7662) => Min Interval: 0, Max Interval: 49
Work(ID7667) => Min Interval: 4, Max Interval: 39
Work(ID7670) => Min Interval: 2, Max Interval: 49
Work(ID7673) => Min Interval: 1, Max Interval: 45
Work(ID7682) => Min Interval: 10, Max Interval: 45
Work(ID7694) => Min Interval: 6, Max Interval: 50
Work(ID7697) => Min Interval: 0, Max Interval: 29
Work(ID7703) => Min Interval: 8, Max Interval: 48
Work(ID7706) => Min Interval: 3, Max Interval: 41
Work(ID7710) => Min Interval: 4, Max Interval: 45
Work(ID7717) => Min Interval: 15, Max Interval: 43
Work(ID7722) => Min Interval: 10, Max Interval: 34
Work(ID7726) => Min Interval: 17, Max Interval: 43
Work(ID7728) => Min Interval: 3, Max Interval: 44
Work(ID7730) => Min Interval: 3, Max Interval: 48
Work(ID7732) => Min Interval: 0, Max Interval: 49
Work(ID7739) => Min Interval: 11, Max Interval: 49
Work(ID7743) => Min Interval: 4, Max Interval: 49
Work(ID7747) => Min Interval: 6, Max Interval: 44
Work(ID7750) => Min Interval: 2, Max Interval: 42
Work(ID7759) => Min Interval: 8, Max Interval: 50
Work(ID7766) => Min Interval: 9, Max Interval: 45
Work(ID7771) => Min Interval: 9, Max Interval: 42
Work(ID7777) => Min Interval: 2, Max Interval: 50
Work(ID7779) => Min Interval: 3, Max Interval: 49
Work(ID7781) => Min Interval: 12, Max Interval: 47
Work(ID7783) => Min Interval: 8, Max Interval: 43
Work(ID7790) => Min Interval: 0, Max Interval: 48
Work(ID7795) => Min Interval: 24, Max Interval: 48
Work(ID7801) => Min Interval: 6, Max Interval: 49
Work(ID7803) => Min Interval: 0, Max Interval: 47
Work(ID7804) => Min Interval: 10, Max Interval: 49
Work(ID7809) => Min Interval: 11, Max Interval: 50
Work(ID7811) => Min Interval: 5, Max Interval: 45
Work(ID7813) => Min Interval: 7, Max Interval: 47
Work(ID7815) => Min Interval: 2, Max Interval: 50
Work(ID7821) => Min Interval: 0, Max Interval: 41
Work(ID7829) => Min Interval: 1, Max Interval: 48
Work(ID7843) => Min Interval: 0, Max Interval: 39
Work(ID7857) => Min Interval: 9, Max Interval: 47
Work(ID7868) => Min Interval: 3, Max Interval: 45
Work(ID7875) => Min Interval: 1, Max Interval: 49
Work(ID7878) => Min Interval: 20, Max Interval: 49
Work(ID7892) => Min Interval: 0, Max Interval: 36
Work(ID7905) => Min Interval: 7, Max Interval: 49
Work(ID7920) => Min Interval: 3, Max Interval: 50
Work(ID7924) => Min Interval: 1, Max Interval: 50
Work(ID7930) => Min Interval: 10, Max Interval: 44
Work(ID7932) => Min Interval: 27, Max Interval: 46
Work(ID7948) => Min Interval: 6, Max Interval: 47
Work(ID7951) => Min Interval: 0, Max Interval: 48
Work(ID7972) => Min Interval: 3, Max Interval: 50
Work(ID8020) => Min Interval: 3, Max Interval: 38
Work(ID8026) => Min Interval: 3, Max Interval: 38
Work(ID8027) => Min Interval: 1, Max Interval: 48
Work(ID8028) => Min Interval: 1, Max Interval: 34
Work(ID8041) => Min Interval: 18, Max Interval: 50
Work(ID8055) => Min Interval: 4, Max Interval: 50
Work(ID8077) => Min Interval: 5, Max Interval: 46
Work(ID8097) => Min Interval: 10, Max Interval: 48
Work(ID8113) => Min Interval: 4, Max Interval: 48
Work(ID8130) => Min Interval: 0, Max Interval: 43
Work(ID8137) => Min Interval: 7, Max Interval: 50
Work(ID8154) => Min Interval: 0, Max Interval: 35
Work(ID8156) => Min Interval: 19, Max Interval: 45
Work(ID8178) => Min Interval: 9, Max Interval: 46
Work(ID8214) => Min Interval: 5, Max Interval: 50
Work(ID8222) => Min Interval: 13, Max Interval: 50
Work(ID8223) => Min Interval: 0, Max Interval: 29
Work(ID8235) => Min Interval: 3, Max Interval: 45
Work(ID8238) => Min Interval: 4, Max Interval: 50
Work(ID8254) => Min Interval: 12, Max Interval: 50
Work(ID8258) => Min Interval: 20, Max Interval: 48
Work(ID8270) => Min Interval: 0, Max Interval: 46
Work(ID8289) => Min Interval: 4, Max Interval: 48
Work(ID8293) => Min Interval: 0, Max Interval: 46
Work(ID8306) => Min Interval: 4, Max Interval: 30
Work(ID8325) => Min Interval: 12, Max Interval: 50
Work(ID8326) => Min Interval: 10, Max Interval: 50
Work(ID8346) => Min Interval: 11, Max Interval: 43
Work(ID8363) => Min Interval: 8, Max Interval: 45
Work(ID8372) => Min Interval: 1, Max Interval: 42
Work(ID8395) => Min Interval: 0, Max Interval: 41
Work(ID8419) => Min Interval: 1, Max Interval: 48
Work(ID8435) => Min Interval: 0, Max Interval: 39
Work(ID8442) => Min Interval: 9, Max Interval: 38
Work(ID8458) => Min Interval: 1, Max Interval: 49
Work(ID8502) => Min Interval: 3, Max Interval: 31
Work(ID8522) => Min Interval: 3, Max Interval: 42
Work(ID8525) => Min Interval: 0, Max Interval: 47
Work(ID8530) => Min Interval: 18, Max Interval: 48
Work(ID8532) => Min Interval: 8, Max Interval: 48
Work(ID8552) => Min Interval: 3, Max Interval: 40
Work(ID8558) => Min Interval: 5, Max Interval: 48
Work(ID8569) => Min Interval: 12, Max Interval: 50
Work(ID8578) => Min Interval: 4, Max Interval: 50
Work(ID8602) => Min Interval: 6, Max Interval: 42
Work(ID8606) => Min Interval: 7, Max Interval: 48
Work(ID8684) => Min Interval: 6, Max Interval: 47
Work(ID8728) => Min Interval: 5, Max Interval: 44
Work(ID8792) => Min Interval: 4, Max Interval: 45
Work(ID8793) => Min Interval: 0, Max Interval: 50
Work(ID8847) => Min Interval: 6, Max Interval: 49
Work(ID8849) => Min Interval: 11, Max Interval: 47
Work(ID8856) => Min Interval: 4, Max Interval: 45
Work(ID8858) => Min Interval: 10, Max Interval: 47
Work(ID8860) => Min Interval: 7, Max Interval: 47
Work(ID8868) => Min Interval: 0, Max Interval: 50
Work(ID8871) => Min Interval: 2, Max Interval: 49
Work(ID8873) => Min Interval: 10, Max Interval: 47
Work(ID8874) => Min Interval: 21, Max Interval: 48
Work(ID8901) => Min Interval: 4, Max Interval: 50
Work(ID8903) => Min Interval: 3, Max Interval: 48
Work(ID8904) => Min Interval: 14, Max Interval: 48
Work(ID8906) => Min Interval: 4, Max Interval: 33
Work(ID8910) => Min Interval: 1, Max Interval: 46
Work(ID8912) => Min Interval: 1, Max Interval: 47
Work(ID8924) => Min Interval: 12, Max Interval: 50
Work(ID8929) => Min Interval: 2, Max Interval: 48
Work(ID8931) => Min Interval: 2, Max Interval: 49
Work(ID8932) => Min Interval: 13, Max Interval: 36
Work(ID8938) => Min Interval: 8, Max Interval: 50
Work(ID8955) => Min Interval: 12, Max Interval: 44
Work(ID8958) => Min Interval: 18, Max Interval: 44
Work(ID8963) => Min Interval: 2, Max Interval: 49
Work(ID8966) => Min Interval: 0, Max Interval: 43
Work(ID8969) => Min Interval: 4, Max Interval: 49
Work(ID8974) => Min Interval: 1, Max Interval: 50
Work(ID8984) => Min Interval: 14, Max Interval: 47
Work(ID8996) => Min Interval: 9, Max Interval: 43
Work(ID9010) => Min Interval: 10, Max Interval: 50
Work(ID9011) => Min Interval: 0, Max Interval: 43
Work(ID9014) => Min Interval: 6, Max Interval: 42
Work(ID9017) => Min Interval: 9, Max Interval: 49
Work(ID9025) => Min Interval: 7, Max Interval: 47
Work(ID9027) => Min Interval: 2, Max Interval: 49
Work(ID9029) => Min Interval: 13, Max Interval: 45
Work(ID9035) => Min Interval: 3, Max Interval: 43
Work(ID9037) => Min Interval: 1, Max Interval: 47
Work(ID9040) => Min Interval: 7, Max Interval: 48
Work(ID9045) => Min Interval: 6, Max Interval: 48
Work(ID9054) => Min Interval: 3, Max Interval: 49
Work(ID9055) => Min Interval: 2, Max Interval: 47
Work(ID9078) => Min Interval: 11, Max Interval: 50
Work(ID9080) => Min Interval: 1, Max Interval: 38
Work(ID9085) => Min Interval: 6, Max Interval: 48
Work(ID9088) => Min Interval: 1, Max Interval: 48
Work(ID9096) => Min Interval: 5, Max Interval: 45
Work(ID9104) => Min Interval: 6, Max Interval: 50
Work(ID9107) => Min Interval: 5, Max Interval: 47
Work(ID9108) => Min Interval: 7, Max Interval: 47
Work(ID9112) => Min Interval: 2, Max Interval: 39
Work(ID9123) => Min Interval: 1, Max Interval: 29
Work(ID9126) => Min Interval: 0, Max Interval: 48
Work(ID9127) => Min Interval: 7, Max Interval: 49
Work(ID9132) => Min Interval: 1, Max Interval: 48
Work(ID9133) => Min Interval: 2, Max Interval: 44
Work(ID9145) => Min Interval: 8, Max Interval: 50
Work(ID9167) => Min Interval: 7, Max Interval: 45
Work(ID9172) => Min Interval: 2, Max Interval: 42
Work(ID9175) => Min Interval: 3, Max Interval: 43
Work(ID9193) => Min Interval: 1, Max Interval: 48
Work(ID9196) => Min Interval: 0, Max Interval: 41
Work(ID9197) => Min Interval: 8, Max Interval: 50
Work(ID9203) => Min Interval: 1, Max Interval: 46
Work(ID9206) => Min Interval: 1, Max Interval: 38
Work(ID9217) => Min Interval: 0, Max Interval: 49
Work(ID9218) => Min Interval: 6, Max Interval: 49
Work(ID9222) => Min Interval: 0, Max Interval: 43
Work(ID9233) => Min Interval: 4, Max Interval: 42
Work(ID9248) => Min Interval: 6, Max Interval: 38
Work(ID9249) => Min Interval: 19, Max Interval: 50
Work(ID9272) => Min Interval: 3, Max Interval: 46
Work(ID9275) => Min Interval: 0, Max Interval: 50
Work(ID9277) => Min Interval: 8, Max Interval: 50
Work(ID9286) => Min Interval: 2, Max Interval: 50
Work(ID9304) => Min Interval: 4, Max Interval: 49
Work(ID9308) => Min Interval: 15, Max Interval: 50
Work(ID9323) => Min Interval: 5, Max Interval: 42
Work(ID9331) => Min Interval: 0, Max Interval: 49
Work(ID9343) => Min Interval: 1, Max Interval: 50
Work(ID9349) => Min Interval: 3, Max Interval: 49
Work(ID9355) => Min Interval: 6, Max Interval: 38
Work(ID9363) => Min Interval: 0, Max Interval: 46
Work(ID9381) => Min Interval: 20, Max Interval: 46
Work(ID9405) => Min Interval: 7, Max Interval: 49
Work(ID9417) => Min Interval: 1, Max Interval: 43
Work(ID9433) => Min Interval: 11, Max Interval: 39
Work(ID9434) => Min Interval: 6, Max Interval: 46
Work(ID9442) => Min Interval: 6, Max Interval: 48
Work(ID9470) => Min Interval: 3, Max Interval: 46
Work(ID9480) => Min Interval: 9, Max Interval: 45
Work(ID9482) => Min Interval: 0, Max Interval: 44
Work(ID9490) => Min Interval: 3, Max Interval: 34
Work(ID9515) => Min Interval: 2, Max Interval: 48
Work(ID9540) => Min Interval: 9, Max Interval: 44
Work(ID9545) => Min Interval: 1, Max Interval: 46
Work(ID9548) => Min Interval: 11, Max Interval: 49
Work(ID9583) => Min Interval: 2, Max Interval: 43
Work(ID9599) => Min Interval: 1, Max Interval: 48
Work(ID9654) => Min Interval: 6, Max Interval: 42
Work(ID9656) => Min Interval: 8, Max Interval: 32
Work(ID9663) => Min Interval: 3, Max Interval: 50
Work(ID9664) => Min Interval: 1, Max Interval: 34
Work(ID9673) => Min Interval: 0, Max Interval: 38
Work(ID9708) => Min Interval: 4, Max Interval: 37
Work(ID9741) => Min Interval: 2, Max Interval: 49
Work(ID9748) => Min Interval: 9, Max Interval: 43
Work(ID9807) => Min Interval: 12, Max Interval: 35
Work(ID9811) => Min Interval: 1, Max Interval: 44
Work(ID9815) => Min Interval: 0, Max Interval: 50
Work(ID9844) => Min Interval: 4, Max Interval: 39
Work(ID9855) => Min Interval: 2, Max Interval: 34
Work(ID9863) => Min Interval: 6, Max Interval: 47
Work(ID9917) => Min Interval: 2, Max Interval: 49
Work(ID9948) => Min Interval: 5, Max Interval: 50
Work(ID9964) => Min Interval: 2, Max Interval: 50
Work(ID9967) => Min Interval: 0, Max Interval: 48
Work(ID9973) => Min Interval: 6, Max Interval: 46
Work(ID9977) => Min Interval: 1, Max Interval: 48
Work(ID9980) => Min Interval: 0, Max Interval: 50
Work(ID9983) => Min Interval: 1, Max Interval: 41
Work(ID9991) => Min Interval: 3, Max Interval: 46
Work(ID9995) => Min Interval: 2, Max Interval: 44
Work(ID9998) => Min Interval: 6, Max Interval: 43
